Date,Open,High,Low,Close,Adj Close,Volume,,RETURNS,Probability,PiXi,Xi-r,(Xi-r)^2,P*(Xi-r)^2,SQRT(P*(Xi-r)^2)
08-05-2023,230.699997,233.399994,230,232.899994,228.889664,372781,,-0.018748733,0.401606426,-0.007529612,-0.042612986,0.001815867,0.000729264,0.027004883
09-05-2023,235.649994,238.850006,233.5,236.399994,232.329391,553198,,0.015027909,0.401606426,0.006035305,-0.008836343,7.8081E-05,3.13578E-05,0.005599805
10-05-2023,236.5,237.149994,234.550003,236.5,232.427673,227105,,0.000423037,0.401606426,0.000169894,-0.023441216,0.000549491,0.000220679,0.014855267
11-05-2023,236,238.100006,235.699997,236.199997,232.132843,173367,,-0.001268512,0.401606426,-0.000509442,-0.025132764,0.000631656,0.000253677,0.015927242
12-05-2023,236,237.199997,234.5,235,230.953506,217276,,-0.005080428,0.401606426,-0.002040332,-0.02894468,0.000837795,0.000336464,0.018342946
15-05-2023,234.199997,239.600006,233.949997,237.800003,233.705292,384851,,0.011914906,0.401606426,0.004785103,-0.011949346,0.000142787,5.73441E-05,0.007572591
16-05-2023,238.199997,241.649994,237.5,240.899994,236.751907,946615,,0.013036127,0.401606426,0.005235392,-0.010828126,0.000117248,4.70877E-05,0.006862046
17-05-2023,240.899994,243.75,240.649994,241.600006,237.439865,378970,,0.00290582,0.401606426,0.001166996,-0.020958433,0.000439256,0.000176408,0.013281867
18-05-2023,null,null,null,null,null,null,,0,0.401606426,0,-0.023864253,0.000569503,0.000228716,0.015123356
19-05-2023,239.649994,241.550003,236.25,239.800003,235.670853,247293,,0,0.401606426,0,-0.023864253,0.000569503,0.000228716,0.015123356
22-05-2023,238.649994,241.149994,237.600006,238.350006,234.245834,82774,,-0.006046693,0.401606426,-0.002428391,-0.029910946,0.000894665,0.000359303,0.018955292
23-05-2023,239.300003,240.149994,236.699997,239.300003,235.179459,113215,,0.003985723,0.401606426,0.001600692,-0.01987853,0.000395156,0.000158697,0.012597507
24-05-2023,237.149994,241.449997,237.149994,240.850006,236.702774,205719,,0.006477238,0.401606426,0.0026013,-0.017387015,0.000302308,0.000121409,0.011018573
25-05-2023,240.850006,242.25,237.899994,240.050003,235.91655,98936,,-0.003321582,0.401606426,-0.001333969,-0.027185835,0.00073907,0.000296815,0.017228323
26-05-2023,239.149994,242.399994,239.149994,241.300003,237.145035,238729,,0.005207248,0.401606426,0.002091264,-0.018657004,0.000348084,0.000139793,0.011823396
29-05-2023,null,null,null,null,null,null,,0,0.401606426,0,-0.023864253,0.000569503,0.000228716,0.015123356
30-05-2023,246,247.100006,242.949997,244.350006,240.142517,290906,,0,0.401606426,0,-0.023864253,0.000569503,0.000228716,0.015123356
31-05-2023,247.850006,247.850006,239.449997,241.199997,237.046738,368739,,-0.012891381,0.401606426,-0.005177261,-0.036755634,0.001350977,0.000542561,0.023292936
01-06-2023,230.5,231.899994,229.25,230.550003,226.580139,763733,,-0.044154205,0.401606426,-0.017732612,-0.068018457,0.004626511,0.001858036,0.043104946
02-06-2023,228,233.399994,228,230.899994,226.924103,1107967,,0.00151807,0.401606426,0.000609667,-0.022346183,0.000499352,0.000200543,0.014161318
05-06-2023,231,231.300003,229.449997,229.649994,225.695618,886885,,-0.005413599,0.401606426,-0.002174136,-0.029277852,0.000857193,0.000344254,0.018554085
06-06-2023,229.949997,230.600006,226.75,227.949997,224.024902,313998,,-0.007402556,0.401606426,-0.002972914,-0.031266809,0.000977613,0.000392616,0.019814535
07-06-2023,228.050003,231.5,228.050003,230.649994,226.678406,474159,,0.01184469,0.401606426,0.004756904,-0.012019563,0.00014447,5.802E-05,0.007617089
08-06-2023,231.75,231.75,227.75,227.949997,224.024902,265516,,-0.011706035,0.401606426,-0.004701219,-0.035570288,0.001265245,0.000508131,0.022541754
09-06-2023,229.949997,229.949997,227.300003,227.699997,223.779205,147834,,-0.001096732,0.401606426,-0.000440455,-0.024960985,0.000623051,0.000250221,0.015818381
12-06-2023,227.800003,229.199997,226.699997,229,225.056824,343304,,0.00570928,0.401606426,0.002292883,-0.018154973,0.000329603,0.000132371,0.011505247
13-06-2023,229.550003,230,228.050003,228.899994,224.958542,304545,,-0.000436707,0.401606426,-0.000175385,-0.02430096,0.000590537,0.000237163,0.015400108
